ticker,index_score,Profitability_score,Liquidity_score,Efficiency_score,Solvency_score,AssetQuality_score,InvestmentCost_score,PerShareFundamentals_score
RIVN,0.33130598359270896,0.0,0.6212369798762893,0.21320838916280052,0.4235031076723789,0.5647368094406369,0.5382426025297982,0.02507843790261343
LCID,0.3082465242075138,0.0,0.5817864127850627,0.14385188871465615,0.46795821691180917,0.5347191414942947,0.45,0.032916233142039536
CCL,0.38594096303481407,0.6037720950429297,0.0709261195136959,0.5866515459042937,0.1851608160915691,0.5924069605385794,0.3775801382369699,0.16084302388816307
DAL,0.38006197103635214,0.5087389848503947,0.05057804764656669,0.5917281013070312,0.43826837519543527,0.4114053496143355,0.2890696019276982,0.3642929732973352
UAL,0.3956196791153924,0.5252632025331806,0.1244360993645593,0.566105430230917,0.2167299285763578,0.5640906559886569,0.290024620792925,0.731596542198719
AAL,0.40686687471818195,0.3287703209592529,0.1344625868212025,0.5713137354128253,0.5627840104644084,0.4748320126504538,0.7081745646472831,0.18732915005538886
TSM,0.6869047349541995,0.902093076689905,0.585009386819499,0.273238779725302,0.9211248612231819,0.9910154135205584,0.16123500923494946,1.0
SONY,0.4525165306570099,0.48556220712016523,0.2484398374958853,0.2494537862384386,0.6482751722753595,0.41611005378205235,0.5516766222251662,1.0
ET,0.3995639218072402,0.49857029065525965,0.1317439844894019,0.5143328471888156,0.33952302784005406,0.6011748872309697,0.521749577663351,0.16403449003564902
NOK,0.4602963654017494,0.40946181677816845,0.2715362361207625,0.2524854546284738,0.8753468764116219,0.49147260360289213,0.8160739715316502,0.07388313627172398
MRO,0.4530499189882185,0.690456792356051,0.1566171004489876,0.2879849113734307,0.6998512135885061,0.6768599727195348,0.20224588546932126,0.26052592492464294
COIN,0.6130897705648674,0.7013929312219985,0.5062132068278633,0.3122974785726714,0.7260255292595614,0.7388194662961529,0.8609471357959259,0.4154757001950434
SIRI,0.19085840517339353,0.046122185592307845,0.07137110583678655,0.20552829913790227,0.4648595344620603,0.12000691561624174,0.40930339116090075,0.23128863780501252
RIOT,0.3595737757213656,0.1508346498921821,0.5689599924391077,0.22297144837104244,0.6958544639005125,0.48251657584654895,0.2,0.03995140670220777
CPRX,0.7395862956091452,0.9009788948612728,0.9530489485635592,0.4120434688819653,0.7573870969555186,0.6870187564060644,0.7288077475846161,0.1346909381284933
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROKU,0.5398257614675714,0.22567246726907467,0.6011840299047673,0.5494097435973833,0.9291363606949622,0.5052137796121442,0.8327736407944197,0.15180361969682118
VIAC,0.32895197679939986,0.18424018160063235,0.1660484826979255,0.4860933108843159,0.4953976398289225,0.4128420454762928,0.5427828709939696,0.1379220121128929
ATVI,0.5780039585131215,0.596625252260508,0.7069248468568041,0.2830513772622407,0.7476117297461111,0.3900710243918607,0.8301333358254909,0.216855480072914
BIDU,0.50089753300433,0.5321275259076228,0.2966211144043441,0.19186764342022644,0.6852751128760144,0.7632182970679153,0.7280052326181745,0.556953244670208
DOCU,0.6288150007737624,0.8025767065355169,0.49761412045807335,0.3001537690134124,0.9725730503105898,0.5651173540649496,0.6953996268900947,0.23374558108327678
ZM,0.6184571410640101,0.5764130229518859,0.8380971386437037,0.2842874016050436,0.7550175832229177,0.6732565220476336,0.6800257439260828,0.3102096655146396
PINS,0.6955749784778276,0.7405428426582791,0.9484377586245558,0.39134589095806754,0.7672692105046526,0.6200688521778636,0.7843171861243073,0.13041694077443072
TLRY,0.29490735768457926,0.0022284170743064116,0.43279811345090335,0.16966696763493994,0.6538360714448312,0.1169802573832554,0.7003475257543316,0.05064793100195289
WBA,0.22140539690041058,0.13704409674920703,0.016645667140450335,0.6672964409285133,0.05779593163185228,0.193138367219808,0.515058131757924,0.08463467006381381
MGM,0.34306868725203127,0.46189354958650397,0.18336737966312386,0.536323573068729,0.07499897525178581,0.4886525853048678,0.38160378753273927,0.2439560878188514
NIO,0.27379662960259193,0.0,0.04733509601367282,0.27456033916356276,0.5769289870034588,0.4477532659358292,0.901825144263966,0.03296740909649286
C,0.3075274708110601,0.42741002480074414,0.1867856251151577,0.09305609639336643,0.14364362012359053,0.4870923086326672,0.5979956431133642,0.38608173871391593
GS,0.34371765059342435,0.4838060939526557,0.23320015693391744,0.12244835467457806,0.11992148406799402,0.494962019971975,0.6527441790989359,0.5
WFC,0.3722365766283066,0.5454838331319671,0.16437803377462146,0.09581092347054182,0.32878891999140064,0.49876480269747314,0.7249618568066772,0.3385473824136823
ADBE,0.6783659025340727,0.9630936344176924,0.55031732818315,0.44932947635616716,0.6648506420389699,0.4268378629755038,0.8295814272751775,0.6952016301736172
